iter	RMSE
0	14.13238834
1	13.23408632
2	12.38744471
3	11.6660525
4	10.97326631
5	10.41265889
6	9.872290127
7	9.438563544
8	9.007347676
9	8.593449555
10	8.215308658
11	7.90943635
12	7.655912032
13	7.424540128
14	7.222940504
15	7.010545126
16	6.840346665
17	6.669123539
18	6.532696134
19	6.398561516
20	6.296618127
21	6.196787775
22	6.091461311
23	6.011958426
24	5.923349995
25	5.857914776
26	5.78581805
27	5.726862134
28	5.671075095
29	5.621660125
30	5.581510506
31	5.543531136
32	5.499856669
33	5.469821237
34	5.431981687
35	5.405318254
36	5.380929828
37	5.361352476
38	5.33815679
39	5.316093424
40	5.302760121
41	5.289270093
42	5.268909186
43	5.258307123
44	5.23958461
45	5.220698901
46	5.203398666
47	5.18830223
48	5.180712566
49	5.164153564
50	5.145434451
51	5.127791373
52	5.110625777
53	5.107410255
54	5.083913462
55	5.070359041
56	5.056196769
57	5.050501038
58	5.04111575
59	5.030459055
60	5.012987883
61	5.00094938
62	4.989330047
63	4.979250093
64	4.970226039
65	4.96908
66	4.952424525
67	4.94783248
68	4.941121015
69	4.926455475
70	4.917610297
71	4.907147937
72	4.900405019
73	4.8910103
74	4.890523913
75	4.883685016
76	4.87402625
77	4.869289927
78	4.862504938
79	4.85147495
80	4.841253597
81	4.834306103
82	4.828694951
83	4.821621915
84	4.813732502
85	4.803722731
86	4.795681724
87	4.791702971
88	4.781032826
89	4.768596474
90	4.762068022
91	4.749805309
92	4.743161971
93	4.722017164
94	4.714644261
95	4.705564986
96	4.690438087
97	4.686834332
98	4.675177219
99	4.660990435
