iter	Passed	Remaining
0	0	73
1	1	63
2	1	58
3	2	55
4	2	53
5	3	51
6	3	50
7	4	49
8	4	48
9	5	48
10	5	48
11	6	47
12	7	47
13	7	46
14	8	45
15	8	45
16	9	44
17	9	44
18	10	43
19	10	43
20	11	43
21	14	50
22	15	53
23	16	52
24	17	51
25	17	50
26	18	50
27	19	49
28	19	48
29	20	47
30	20	46
31	21	45
32	21	44
33	22	43
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	25	38
40	26	38
41	26	37
42	28	37
43	29	37
44	30	36
45	30	36
46	31	35
47	31	34
48	32	33
49	32	32
50	33	32
51	33	31
52	34	30
53	34	29
54	35	28
55	35	27
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	39	22
64	40	21
65	40	20
66	41	20
67	41	19
68	43	19
69	44	18
70	45	18
71	45	17
72	46	17
73	46	16
74	46	15
75	47	14
76	47	14
77	48	13
78	49	13
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	55	4
92	56	4
93	56	3
94	58	3
95	59	2
96	60	1
97	61	1
98	61	0
99	62	0
